name;recipe;ingredients;country;time
Сырники творожные;В творог добавляем яйцо, сметану, сливочное масло, соль, сахар, пшеничную муку и перемешиваем. Лепим творожные шарики и обваливаем их в муке. Сплющиваем шарики на сковородке с разогретым подсолнечным маслом. Обжариваем с обеих сторон до образования румяной корочки.;Творог: 500 г, Пшеничная мука: 3 столовые ложки, Куриное яйцо: 1 штука, Сахар: 3 столовые ложки, Сметана: 2 столовые ложки, Сливочное масло: 1 чайная ложка, Соль: по вкусу;Белорусская кухня;30 минут
Простые тонкие блины на молоке;Муку просеять, смешать с сахаром и солью. Погасить соду в эту смесь. Добавить яйца и перемешать до однородности, чтобы не было комочков. По чуть-чуть добавлять молоко и размешивать. Добавить подсолнечное масло и размешать еще раз.;Молоко: ½ л, Пшеничная мука: 200 г, Соль: по вкусу, Подсолнечное масло: 2 столовые ложки, Сахар: 1 столовая ложка, Куриное яйцо: 3 штуки, Сода: 1 чайная ложка;Русская кухня;40 минут
Яичница в помидоре;Помидоры вымыть, срезать с них верхушки. Аккуратно с помощью чайной ложки вынуть середину. Яйца взбить с натертым на мелкой терке сыром, добавить мелко нарезанную зелень петрушки и укропа, посолить, поперчить. В помидоры влить подготовленную смесь, прикрыть «крышечками» (верхушками помидоров) и запечь на максимальной мощности СВЧ-печи в течение 3 минут.;Помидоры: 4 штуки, Куриное яйцо: 3 штуки, Сыр: 100 г, Зелень: 1 пучок, Молотый черный перец: по вкусу, Соль: по вкусу;Еврейская кухня;10 минут
Драники с сыром и чесноком;Картофель очистить, помыть, обсушить, натереть на крупной терке. Сыр натереть на мелкой терке. Натереть или мелко нарубить лук, раздавить чеснок, добавить соль, перец и яйца. Все хорошо перемешать, добавить муку по мере надобности (чтобы не было воды), еще раз все хорошо перемешать. Хорошо разогреть сковороду, добавить масло, ложкой выложить картофельную массу, убавить огонь, обжаривать уже на среднем огне до золотисто-коричневого цвета. Перевернуть, через минуту накрыть крышкой, обжаривать так же до золотисто-коричневого цвета.;Картофель: 8 штук, Лук: 1 штука, Сыр: 100 г, Чеснок: 2 зубчика, Пшеничная мука: 3 столовые ложки, Растительное масло: 50 мл, Куриное яйцо: 2 штуки, Соль: по вкусу, Молотый черный перец: по вкусу;Белорусская кухня;30 минут
Классические белорусские драники;Картофель необходимо в сыром виде очистить от кожуры, тщательно вымыть и натереть на мелкой терке. Для измельчения картофеля можно также воспользоваться блендером или перекрутить его через мясорубку. Аналогично нужно измельчить репчатый лук и добавить его к картофелю. В луково-картофельную смесь для связки добавляется сырое яйцо, а также специи по вкусу (в основном, черный молотый перец и соль) и мука. Тесто для драников тщательно замешивается до однородности. Сковорода с раскаленным маслом уже ожидает драников, поэтому с этого момента начинается сам процесс жарки. Тесто для драников нужно аккуратно, при помощи столовой ложки, выкладывать на сковородку в виде блинчиков. Размер драников зависит от предпочтений хозяйки. Они могут быть большими, тогда их в дальнейшем можно будет скрутить с разнообразной начинкой, трансформируя обыкновенные драники в фаршированную вкуснотищу. Драники могут быть и совсем маленькими, тогда их будет удобно подавать на небольших тарелках, к тому же, они наверняка понравятся малышам. Обжариваются драники на среднем огне с двух сторон до появления красивой румяной корочки, после чего сковородка накрывается крышкой, а блинчики прожариваются еще приблизительно три минуты на маленьком огне.;Картофель: 5 штук, Лук: ½ штуки, Куриное яйцо: 1 штука, Пшеничная мука: 2 столовые ложки, Молотый черный перец: по вкусу, Соль: по вкусу, Растительное масло: по вкусу;Белорусская кухня;30 минут
Бульбяная яичница;Картошку почистить, нарезать, сварить и превратить в пюре. Смешать муку со сметаной. Отдельно взбить яйца с молоком. Соединить три подготовленных массы в одну, посолить, поперчить и перемешать. Вылить в смазанную топленым маслом форму для запекания. Запечь в духовке при 180 градусах в течение 20 минут.;Картофель: 1 кг, Сметана: 250 г, Пшеничная мука: 3 столовые ложки, Куриное яйцо: 6 штук, Молоко: 250 мл, Топленое масло: 2 столовые ложки, Соль: по вкусу, Молотый черный перец: по вкусу;Белорусская кухня;45 минут
Оладьи с голубикой;Взбить яйцо с мукой, разрыхлителем, молоком и щепоткой соли до образования однородного, нежного теста. Вмешать голубику. Разогреть сковороду, добавить ½ чайной ложки масла. Вылить половник теста на сковороду и еще один, оставив между ними достаточное количество места. Обжаривать блинчики 1­-2 минуты, до тех пор, пока на поверхности не появятся пузырьки. Перевернуть и жарить до равномерного золотистого цвета. Продолжать жарить, добавляя масло на сковороду по необходимости, пока не закончится тесто. Подавать панкейки с йогуртом и ягодами.;Куриное яйцо: 1 штука, Пшеничная мука: 1 стакан, Разрыхлитель: 2 чайные ложки, Молоко: 1 стакан, Соль: по вкусу, Голубика: 200 г, Оливковое масло IDEAL: по вкусу, Натуральный йогурт: по вкусу;Европейская кухня;15 минут
Омлет с мукой;Разбить яйца в чашу, посолить и оставить на минуту другую. Медленно всыпать муку, постоянно помешивая, чтобы не образовались комочки. Добавить немного воды, чтобы консистенция стала менее густой. Мелко порубить чеснок и петрушку, добавить в омлет и обжарить на горячей сковороде с добавлением оливкового масла.;Куриное яйцо: 8 штук, Пшеничная мука: 4 столовые ложки, Чеснок: 4 зубчика, Соль: по вкусу, Вода: по вкусу, Оливковое масло: по вкусу;Французская кухня;10 минут
Манная каша молочная;Цельное молоко или молоко, разбавленное водой, вскипятить, добавить соль, сахар и быстро всыпать при постоянном помешивании тонкой струей манную крупу, чтобы не образовалось комков, так как манная крупа заваривается через 20–30 секунд, и варить 5 минут. При заваривании одновременно большого количества крупы (4–6 кг) один работник может всыпать крупу, а другой — венчиком размешивать жидкость с крупой. Отпускают горячую кашу с маслом, сахаром, вареньем и в холодном виде с сахаром.;Манная крупа: 3 столовые ложки, Молоко: 300 мл, Вода: 300 мл, Сахар: 10 г, Соль: по вкусу, Сливочное масло: 50 г, Варенье: по вкусу;Русская кухня;10 минут
Бабушкины сырники;С помощью вилки в отдельной емкости смешать творог, сахар, соль и яйцо так, чтобы получилась однородная масса. Продолжая смешивать тесто для сырников, аккуратно всыпать муку, по необходимости количество муки уменьшить или увеличить — в зависимости от получившейся консистенции. Сформировать сырники желаемого размера и формы, разогреть на открытой сковороде масло, обжарить с двух сторон. Подавать в горячем виде со сметаной и вареньем.;Творог: 500 г, Сахар: 2 чайные ложки, Соль: щепотка, Куриное яйцо: 1 штука, Пшеничная мука: 2 столовые ложки, Растительное масло: 3 столовые ложки;Русская кухня;40 минут
Пшенная каша на молоке;Переберите и промойте пшено в кипятке до тех пор, пока вода промывки не станет прозрачной. Залейте пшено водой в соотношении 1 к 2 и поставьте на огонь. Когда вода закипит, снимите пенку и продолжайте варить до тех пор, пока вода практически не выкипит, затем добавьте молоко (соотношение также 1 к 2) и убавьте огонь до минимума. Добавьте соль и сахар по вкусу. Варите кашу до загустения (около 20 минут), не забывая помешивать, чтобы не пригорала. В конце можно закрыть кашу крышкой и дать ей немного настояться, либо положить сливочное масло (1–2 ложки) и подавать к столу.;Пшено: 1 стакан, Вода: 2 стакана, Молоко: 2 стакана, Соль: ¼ чайные ложки, Сахар: по вкусу, Сливочное масло: по вкусу;Европейская кухня;30 минут
Сырники Андрея Махова;Творог протереть через сито для более воздушной текстуры. Замесить тесто, смешав все ингредиенты, кроме масла. Двумя ложками слепить сырники, придавая каждому форму кнели, и обжарить на топленом масле с каждой стороны до золотистой корочки. Довести сырники в духовке, разогретой до 160 градусов, до готовности — в течение 5-10 минут. Подавать со сметаной или вареньем по вкусу.;Творог 9%-ный: 1 кг, Пшеничная мука: 100 г, Жирная сметана: 150 г, Куриное яйцо: 2 штуки, Сахар: 100 г, Соль: по вкусу, Ванилин: щепотка, Топленое масло: 1 столовая ложка;Русская кухня;30 минут
Панкейки классические американские;Яйца, сахар и соль взбить до пены. Влить половину молока, взбить, постепенно всыпать половину муки, чтобы не было комков. Влить оставшееся молоко и так же постепенно досыпать муку. Погасить соду, добавить в тесто, вылить масло. Еще раз хорошо все взбить. Дать тесту постоять, погреть сковороду. Смазать сковороду маленьким количеством масла только для первого блинчика. Жарить на среднем огне. Как начнут лопаться пузырики, перевернуть. Еще несколько секунд и снять.;Куриное яйцо: 1 штука, Сахар: 30 г, Соль: ½ чайные ложки, Молоко: 250 мл, Пшеничная мука: 120 г, Сода: ½ чайные ложки, Растительное масло: 2 столовые ложки;Американская кухня;20 минут
Творожные шарики жареные во фритюре;Перемешать творог, яйца, муку, сахар. Слепить из теста небольшие шарики. В ковшик вылить подсолнечное масло и ждать пока закипит. Выложить шарики в кипящие масло. Подождать пока шарики покроются румяной корочкой и вытащить. Шарики обмакнуть в сахар или в сахарную пудру.;Творог: 700 г, Куриное яйцо: 3 штуки, Пшеничная мука: 1 стакан, Сахар: 3 столовые ложки, Подсолнечное масло: 700 мл, Сахарная пудра: 4 столовые ложки;Русская кухня;25 минут
Сырники с изюмом (без муки);Творог и два яйца размешать в миске, после чего добавить сахар. Всыпать овсяные хлопья и манку, размешать. Добавить соль и разрыхлитель. Изюм промыть, обдать кипятком и добавить в миску. Размешать все до однородности и поставить сковороду на огонь, налив масло. Взять столовую ложку, набрать в нее теста и просто выложить его на сковороду, подталкивая другой ложкой или пальцем. Накрыть крышкой, убавить огонь до минимума и держать сырники так минут 5–6, после чего перевернуть их на другую сторону, снова накрыть и готовить еще около 5 минут. Затем огонь надо выключить и оставить сырники под крышкой еще на несколько важных минут — они пропитаются паром и станут еще сочнее.;Творог 9%: 240 г, Сахар: 1 столовая ложка, Куриное яйцо: 2 штуки, Соль: щепотка, Манная крупа: 2 столовые ложки, Разрыхлитель: 0,2 чайных ложек, Овсяные хлопья: 4 столовые ложки, Изюм: 65 г;Русская кухня;30 минут
Японский омлет;Яйца смешайте с соевым соусом и рисовым уксусом. Если соус соленый, добавьте чуть-чуть сахара (треть чайной ложки), а если сладкий, то можно немного посолить. Слегка взбейте смесь вилкой, чтобы получилась однородная масса. Смажьте сковороду, нагрейте ее на небольшом огне и налейте немного яичной смеси, чтобы выпечь тонкий блинчик. Когда яйца схватятся, загните два противоположных края к центру. Затем сложите блинчик пополам вдоль. Сдвиньте получившийся сверток к самому краю сковороды, а на свободную часть налейте еще порцию яичной смеси. Новый блинчик должен одним краем приклеиться к первому. Когда второй блинчик немного схватится, накрутите его на первый. Повторяйте этот и предыдущий этапы, пока не кончится смесь или рулетик не получится достаточно толстым. Осталось нарезать омлет поперек и подать.;Соевый соус: 15 мл, Рисовый уксус: 10 мл, Куриное яйцо: 3 штуки;Японская кухня;30 минут
Блины тонкие обыкновенные;Разбиваем яйца и хорошенько перемешиваем. Добавляем муку и тщательно перемешиваем. Получается очень густая консистенция, и, что самое главное, без комочков. По чуть-чуть вливаем молоко и перемешиваем, чем жиже тесто -—тем больше за раз можно добавлять молока. Такой способ поэтапного смешивания ингредиентов позволяет не переживать о возможных комочках, что в случае, когда нет под рукой миксера, становится очень актуально. Теперь добавляем соль, сахар. Когда сковородка достаточно нагреется (ни в коем случае она не должна быть слишком горячей, в моем случае это температура средняя между максимально возможной и средней для плиты) добавляем в тесто масло, перемешиваем и начинаем жарить блинчики. С одной стороны сковородки выливаем немного теста и быстрыми наклонными движениями равномерно распределяем тесто по поверхности, таким образом получается круглый и тонкий блинчик. Примерно секунд 15–20 ждем, пока схватится нижняя сторона, а края подрумянятся, и переворачиваем блинчик, другая сторона готовится еще быстрее.;Куриное яйцо: 3 штуки, Пшеничная мука: 1 стакан, Молоко: 2 стакана, Сахар: 1 столовая ложка, Соль: ½ чайные ложки, Растительное масло: 1,5 столовых ложек;Русская кухня;30 минут
Оладьи из брокколи с сыром;Отварите капусту в подсоленной воде, откиньте на дуршлаг, измельчите. Отдельно взбейте яйцо, добавьте муку, соль, перец, сыр. Смешайте с брокколи. Разогрейте масло на сковороде, формируйте форму оладьев и жарьте с каждой стороны 3 минуты. Подавайте с йогуртовым соусом (смешайте 2 столовые ложки йогурта натурального, мелко порубите мяту, раздавите чеснок чеснокодавилкой и поперчите).;Капуста брокколи: 250 г, Пшеничная мука: 70 г, Куриное яйцо: 1 штука, Соль: по вкусу, Тертый сыр пармезан : 30 г, Смесь перцев: по вкусу;Французская кухня;20 минут
Яичница по-французски в хлебе;В середине куска хлеба сделать отверстие, удалив мякиш. На сковороде растопить масло, обжарить хлеб с двух сторон. Яйца аккуратно разбить и вылить в центр хлебной формы. Посолить. Жарить до готовности. Подавать яичницу с порезанным помидором и зеленью.;Куриное яйцо: 2 штуки, Белый хлеб: 2 куска, Помидоры: 1 штука, Зелень: 1 пучок, Соль: щепотка, Сливочное масло: 20 г;Французская кухня;15 минут
Уэвос-ранчерос с чоризо;Припустить на оливковом мас­ле мелко нарезанные лук и чеснок. Так, чтобы они чуть размягчились, но еще не нача­ли жариться. Добавить рубленые помидоры и перцы и тушить еще две ­минуты. После чего выжать в сковороду сок лимона, всыпать рубленую петрушку, сахар и подержать на огне еще минуту, энергично помешивая. Снять с огня и переложить содержимое сковороды в подходящую емкость. Обжарить на оливковом масле семена кориандра и тонкие ломтики чоризо, уделив каждой стороне колбасы секунд двадцать. Разбить в сковороду яйца, добавить помидорно-перечный соус (это, кстати, у него имя — ранчерос, а хуэвос — это про яйца) и жарить до готовности.;Лимон: 1 штука, Оливковое масло: 50 мл, Сахар: щепотка, Петрушка: 10 г, Семена кориандра: щепотка, Чеснок: 3 зубчика, Красный лук: 50 г, Чоризо: 100 г, Маринованный перец: 3 штуки, Помидоры: 2 штуки, Куриное яйцо: 6 штук;Мексиканская кухня;10 минут
Булочка с творогом и авокадо;Авокадо разрезать пополам, убрать косточку, из одной половинки вынуть ложкой фруктовую мякоть, мелко порезать и сразу же сбрызнуть лимонным соком, чтобы масса не потемнела. Творог перемешать с молоком, приправить перцем и солью. Добавить укроп. Осторожно опустить кусочки авокадо в творог. Булочку разрезать пополам, намазать на нее крем из авокадо. Посыпать сверху семечками.;Авокадо: ½ штуки, Лимонный сок: 1 чайная ложка, Творог: 2 столовые ложки, Молоко: 1 чайная ложка, Молотый черный перец: по вкусу, Соль: по вкусу, Цельнозерновая булочка : 1 штука, Семечки подсолнуха: 1 чайная ложка;Американская кухня;15 минут
Овсяная каша с яблоком и корицей;Овсяные хлопья насыпаем в кастрюлю, солим и добавляем ложку сахара. Перемешиваем, заливаем водой, сверху кладем сливочное масло. Ставим на плитку, на умеренный огонь. Во время приготовления кашу нужно помешивать. Как только хлопья впитают в себя всю воду, снимаем с огня. Если у вас очень резвая плитка, то это займет минуты три. Пока каша закипает, режем половинку яблока на квадратики и выкладываем в тарелку. Сверху посыпаем корицей и кладем столовую ложку меда. Когда каша будет готова, перекладываем ее на яблоки с корицей и медом, перемешиваем. Сверху можно украсить ягодами или мятой.;Сливочное масло: 1 столовая ложка, Овсяные хлопья: 150 г, Яблоко: 60 г, Молотая корица: 1 чайная ложка, Соль: щепотка, Сахар: 1 столовая ложка, Мед: 1,5 столовых ложек, Вода: 450 мл;Британская кухня;10 минут
Кабачковые оладьи с лимонной цедрой и полентой;Кабачок натереть на крупной терке и посолить. Спустя 5 минут отжать сок при помощи нетканых полотенец. Смешать вилкой кабачок, яйцо, муку, поленту и цедру 1 лимона. Сформировать и пожарить оладьи на растительном масле с обеих сторон. Подавать со сметаной или сливочным сыром.;Кабачки: 300 г, Куриное яйцо: 1 штука, Полента: 50 г, Пшеничная мука: 30 г, Лимон: 1 штука, Соль: по вкусу;Европейская кухня;20 минут
Ленивые вареники со сметаной;Из муки, творога, яиц, сахара и соли замешиваем тесто, некрутое, но чтобы и не прилипало к рукам. Получившееся тесто делим на несколько частей, из каждой скатываем колбаски, нарезаем на кусочки и варим в подсоленной кипящей воде 1–2 минуты. Подаем со сметаной.;Творог: 500 г, Пшеничная мука: 5 столовых ложек, Сахар: 3 столовые ложки, Куриное яйцо: 1 штука, Соль: по вкусу, Сметана: по вкусу;Украинская кухня;15 минут
Омлет с пряными травами;Яйца смешать с солью, перцем и нарубленными травами. В сковороде растопить сливочное масло. Яйца влить в сковороду на сливочное масло, как только оно начнет интенсивно шкварчать. Как только омлет начнет густеть, подвернуть лопаткой его края к центру, после чего снять с огня и несколько секунд дотомить на жару, оставшемся в сковороде.;Куриное яйцо: 3 штуки, Петрушка: 5 г, Укроп: 5 г, Сливочное масло: 20 г, Соль: по вкусу, Молотый белый перец: по вкусу;Французская кухня;5 минут
Тортилья (испанский омлет);Картофель почистить, разрезать на половинки и нарезать очень тонко. Посыпать солью. Почистить лук, разрезать на половинку и мелко порубить. Острым ножом нарезать помидоры. Влить 2 столовые ложки оливкового масла в сковородку. Разогреть на среднем огне. Добавить картофель и обжарить его в течение 5 минут, постоянно помешивая. Добавить лук и хорошо перемешать. Накрыть сковородку крышкой и уменьшить огонь. Периодически помешивать. Яйца разбить в большую миску и взбить вилкой, так чтобы смешать желтки и белки. Добавить соль и перец. Когда картофель и лук будут готовы, добавить их в миску с яйцами. Добавить помидоры и горошек. Добавить оставшуюся ложку оливкового масла в сковородку и разогреть на среднем огне, приблизительно 1 минуту. Влить смесь яиц и овощей в сковородку. Уменьшить огонь. Готовить на самом слабом огне 15 минут. Когда почти вся жидкость на поверхности омлета испарится, перевернуть его на другую сторону и готовить еще 5 минут. Подавать горячим.;Картофель: 280 г, Репчатый лук: 120 г, Куриное яйцо: 5 штук, Помидоры: 1 штука, Зеленый горошек: 1 стакан, Оливковое масло: 3 столовые ложки, Соль: по вкусу;Испанская кухня;40 минут
Бризоль;Нарезать лук мелким кубиком или измельчить его в блендере. Вымешать фарш, добавив лук, а также перец и соль по вкусу. Добавить в массу одно сырое яйцо. Разделить на 4 равные части. Разбить одно яйцо в миску, слегка взбить его. Перелить на плоскую тарелку. Одну часть фарша тонко раскатать на доске, посыпанной мукой, по диаметру сковороды, в которой будет готовиться бризоль. Совет! Фарш можно раскатать и между пищевой пленкой — так он не липнет к скалке и его удобнее переносить в тарелку. В сковороде разогреть пару столовых ложек растительного масла. Лепешку из фарша перенести на тарелку с яйцом, выложить аккуратно поверх него. Затем осторожно сдвинуть все с тарелки на раскаленную сковороду таким образом, чтобы яйцо оказалось внизу, а фарш — сверху. После того, как яичная основа подрумянится, перевернуть бризоль и жарить до готовности. Аналогично приготовить и остальные бризоли. У веточки петрушки оторвать листья и измельчить их. Подавать, свернув пополам и посыпав зеленью. Внутрь бризоля можно положить начинку, например, обжаренные грибы или овощи.;Фарш: 200 г, Куриное яйцо: 5 штук, Лук: 1 головка, Соль: по вкусу, Молотый черный перец: по вкусу, Растительное масло: по вкусу, Петрушка: по вкусу;Европейская кухня;20 минут
Валлийский кролик;Белый багет нарезать тонкими ломтиками, ломтики смазать сливочным маслом с обеих сторон и отправвить в духовку, разогретую до 200 градусов, на 3-4 минуты. За это время в сковородке приготовить соус. Столовую ложку пшеничной муки обжарить при постоянном помешивании в сливочном масле до золотистого карамельного оттенка. Так готовится загуститель — французы называют его «ру». В загуститель влить темное пиво и молоко, и все вбить венчиком в загуститель. Туда же добавить горчицу, щепотку черного молотого перца и тертый сыр чеддер. Оставить на медленном огне примерно минуту, после чего снять с плиты, и когда бульканье затихает, в соус венчиком вбить 2 яичных желтка. Залить горячим соусом поджаренные гренки и есть немедленно. Дополнит завтрак чашка кофе.;Французский багет: 1 штука, Пшеничная мука: 1 столовая ложка, Сливочное масло: 100 г, Темное пиво: 200 мл, Молоко: 100 мл, Горчица: 1 столовая ложка, Яичный желток: 2 штуки, Сыр чеддер: 200 г, Молотый черный перец: по вкусу;Британская кухня;15 минут
Хрустящий хашбраун;Очистите картофель и натрите на крупной терке. Переложите в дуршлаг и отожмите лишнюю влагу. Тем временем, в сковороде разогрейте оливковое масло на среднем огне, но не давайте дымиться. Выложите картофель на сковороду и вилкой разровняйте тонким слоем. Посолите и поперчите. Дайте несколько минут подрумяниться и большой лопаткой переверните блин. Поджарьте до хрустящего состояния.;Оливковое масло: 3 столовые ложки, Картофель: 500 г, Соль: по вкусу, Молотый черный перец: по вкусу;Европейская кухня;20 минут
Шакшука;На оливковом масле обжарить измельченный лук до мягкости, добавить измельченный чеснок и нарезанные небольшими кубиками сладкий перец и чили, готовить, помешивая, еще пару минут. Добавить нарезанные небольшими кубиками помидоры, приправить солью, перцем, зирой и паприкой, готовить еще 10–12 минут, пока овощи не станут мягкими. Добавить к овощам нарезанную небольшими кубиками фету, перемешать, разбить в овощи яйца так, чтобы желток остался целым. Отправить сковороду в духовку, разогретую до 180 градусов, на 7–10 минут. Готовую шакшуку посыпать свежей петрушкой и подавать.;Куриное яйцо: 6 штук, Репчатый лук: 1 головка, Чеснок: 3 зубчика, Красный сладкий перец: 1 штука, Помидоры: 500 г, Молотый кумин (зира) : 1 чайная ложка, Сладкая паприка: 1 чайная ложка, Сыр фета: 150 г, Оливковое масло: 50 мл, Петрушка: 10 г, Соль: по вкусу, Молотый черный перец: по вкусу, Перец чили: 1 штука;Еврейская кухня;30 минут
Запеканка из брокколи с сыром;Вымытую, очищенную и разделенную на соцветия брокколи варим в подсоленной воде 10 минут. Смешиваем сметану, яйца и тертый сыр, приправляем специями, тертым мускатом. В смазанную сливочным маслом и присыпанную панировочными сухарями форму выкладываем брокколи и заливаем подготовленной смесью, сверху раскладываем хлопья сливочного масла. Запекаем в разогретой до 200 градусов духовке 20 минут до застывания яичной массы.;Капуста брокколи: 500 г, Сметана: 300 г, Сливочное масло: 2 столовые ложки, Куриное яйцо: 5 штук, Панировочные сухари: 200 г, Соль: по вкусу, Сыр: 200 г, Молотый черный перец: по вкусу, Мускатный орех: по вкусу;Авторская кухня;25 минут
Батончики из овсяной гранолы с абрикосом и льном;В большой миске смешать овсяные хлопья с семенами льна, отрубями и мелко нарезанной курагой (если курага вам по- палась жесткая, предварительно ее можно замочить в теплой воде на семь-десять минут, а затем обсушить в дуршлаге). Добавить пекарский порошок, фруктозу и соль. Перемешать. Мед согреть до жидкого состояния и добавить к хлопьям вместе с яблочным пюре. Перемешать. Масса должна получиться очень крутой, сухой и легко разделяться на куски. При этом хлопья должны быть слегка увлажненными, а не мокрыми или вязкими. Разогреть духовку до 180 градусов. Широкий противень покрыть листом бумаги для запекания (лучше даже использовать кальку, которая продается в магазине канцелярских принадлежностей), смазать растительным маслом и выложить овсяную массу. Распределить массу по бумаге ровным слоем толщиной в 1 см. Чтобы слой получился равномерным, можно взять тарелку с плоским дном или еще лучше — разделочную доску и аккуратно уплотнить гранолу. По- ставить противень в духовку и выпекать полчаса. Достать из духовки противень и, пока масса не остыла, наметить ножом разрезы, чтобы затем превратить корж в батончики — после остывания они немного затвердеют и будут напоминать по консистенции ирис. Нарезать острым ножом остывший корж на аккуратные прямо- угольники.;Мед: 2 столовые ложки, Овсяные хлопья: 100 г, Фруктоза: 2 столовые ложки, Семена льна: 1,5 столовых ложек, Курага: 4 штуки, Отруби: 20 г, Яблочное пюре: 100 г, Пекарский порошок : ½ чайные ложки, Соль: щепотка;Американская кухня;40 минут
Каша из булгура с сухими фруктами и медом;Сливочное масло (50 г) растопить в глубоком сотейнике и на медленном огне в течение двух минут потушить в нем булгур, постоянно помешивая. Залить булгур водой на один-два пальца, добавить соли и варить десять-двенадцать минут. На сковородке растопить сливочное масло и обжарить на нем предварительно замоченные на несколько часов и нарезанные мелкими кусочками сухофрукты. Обжаривать три минуты, после чего добавить сок лимона, фисташки, мед и тушить, помешивая, две минуты. Смешать булгур с сухофруктами и фисташками и варить еще минуту-другую.;Булгур: 400 г, Курага: 200 г, Сушеная вишня: 50 г, Изюм: 100 г, Лимон: 1 штука, Фисташки: 50 г, Сливочное масло: 100 г, Мед: 2 столовые ложки, Соль: по вкусу;Французская кухня;20 минут
Яблочные оладьи с ванилью;Яблоки моем. Срезаем шкуру (хотя если не очень жесткая, можно и оставить) и натираем на крупной терке или в блендере. Смешиваем яблоки с сахаром и яйцами. Добавляем ваниль и соду с мукой. Муку необходимо добавлять постепенно, доводя тесто до консистенции густой сметаны. Сковородку разогреваем, но не слишком сильно. Оладьи не должны подгорать и должны хорошо пропекаться. Жарим на сливочном или растительном масле небольшие оладьи (накладывать тесто можно столовой ложкой).;Сахар: 3 столовые ложки, Яблоко: 3 штуки, Куриное яйцо: 2 штуки, Ванилин: щепотка, Соль: щепотка, Пшеничная мука: 1 стакан, Сода: на кончике ножа;Русская кухня;20 минут
